id,id_str,screen_name,location,Age,In-out-ratio,favorites-ratio,Status-ratio,Account-rep,Avg-tpd,Hashtags-ratio,User-mentions-ratio,Mal-url-ratio,Url-ratio,bot
7.06E+17,7.06E+17,feud_exe,,,,,,,,,,,,1
2835394560,2835394560,vaporfave,,,,,,,,,,,,1
4825082233,4825082233,peabero89,"Van Horn town, TX, USA",,,,,,,,,,,1
4452780559,4452780559,UcOVJ4xlZaGwtKm,,,,,,,,,,,,1
2821046862,2821046862,moonmurmur,the sky and all of space,,,,,,,,,,,1
2477378850,2477378850,AttentiveBot,Tended to by @dphiffer,,,,,,,,,,,1
6.99E+17,6.99E+17,vocalsvt, ‰äÇ VlNTAEGE,,,,,,,,,,,1
8.39E+17,8.39E+17,249_4665,,,,,,,,,,,,1
201143023,"""201143023""","""Ttimmson74""","""Virginia, USA""",,,,,,,,,,,1
8.21E+17,"""820930460121300992""","""LondonPogoMap""","""London""",,,,,,,,,,,1
2787454512,2787454512,CrisprPhages,,,,,,,,,,,,1
8.4E+17,8.4E+17,forestgen,soothing forest,,,,,,,,,,,1
2360241721,2360241721,phy_papers,,,,,,,,,,,,1
177684507,177684507,rnomics,France,,,,,,,,,,,1
8.41E+17,8.41E+17,woloshinj_buzz,,,,,,,,,,,,1
2293077919,2293077919,DiGRAThemes,Snowbird,,,,,,,,,,,1
7.82E+17,7.82E+17,Twisted_Maglion,,,,,,,,,,,,1
8.34E+17,8.34E+17,shantae_stubby,,,,,,,,,,,,1
3069631373,3069631373,super_jeopardy,,,,,,,,,,,,1
2398623474,2398623474,Speed_1994,"LA, FIRST TIME!",,,,,,,,,,,1
8752222,8752222,TheUniverse,Los Angeles,,,,,,,,,,,1
2553194245,2553194245,everywordNYT,,,,,,,,,,,,1
1945747520,1945747520,Exoriders,,,,,,,,,,,,1
2479314061,2479314061,onlymanthings,MANLAND,,,,,,,,,,,1
4853365872,4853365872,maximotxx,"Sandia, NM, USA",,,,,,,,,,,1
7.84E+17,7.84E+17,violajacobs2414,,,,,,,,,,,,1
302049050,302049050,Lake5Media,"New York, NY 10022",,,,,,,,,,,1
3384759783,3384759783,crystalliser,,,,,,,,,,,,1
393504310,393504310,SeethingVortex,New York Capital Territory,,,,,,,,,,,1
174958347,174958347,Horse_ebooks,,,,,,,,,,,,1
2305621754,2305621754,FMKVote,The Internet,,,,,,,,,,,1
7.48E+17,7.48E+17,biorxiv_evobio,,,,,,,,,,,,1
1885568064,1885568064,BoazimBot,"Boston, MA",,,,,,,,,,,1
2808482336,2808482336,ClipArtBot,,,,,,,,,,,,1
7.49E+17,7.49E+17,gotogyuterte,@gyuterte,,,,,,,,,,,1
7.99E+17,7.99E+17,libraryofvivec,,,,,,,,,,,,1
3945972795,3945972795,ItMeIRL,,,,,,,,,,,,1
7.79E+17,7.79E+17,Rober4628,,,,,,,,,,,,1
8.26E+17,8.26E+17,aura_mazon,,,,,,,,,,,,1
2533978033,"""2533978033""","""MBPoGoAlert""","""Myrtle Beach, SC""",,,,,,,,,,,1
2607163646,2607163646,tiny_star_field,,,,,,,,,,,,1
516047986,516047986,pentametron,Stratford-upon-Internet,,,,,,,,,,,1
2359455914,2359455914,ArkhamSingles,"Arkham, Massachusetts",,,,,,,,,,,1
8.11E+17,8.11E+17,NYC_Newswire,"Brooklyn, NY",,,,,,,,,,,1
8.12E+17,"""812169101665669122""","""VegasPokeMap""","""Las Vegas""",,,,,,,,,,,1
2815184227,2815184227,literaldevices,,,,,,,,,,,,1
2583829850,2583829850,emojicheer,Internet,,,,,,,,,,,1
2365773044,2365773044,EuphemismBot,,,,,,,,,,,,1
2369366659,2369366659,NK_papers,,,,,,,,,,,,1
2216299843,2216299843,oliviataters,,,,,,,,,,,,1
7.68E+17,7.68E+17,QuantomBot,,,,,,,,,,,,1
8.24E+17,8.24E+17,zatieot,"San Lorenzo zona urbana, USA",,,,,,,,,,,1
8.32E+17,8.32E+17,ADigginsSDN,,,,,,,,,,,,1
2207864359,2207864359,FreeFlattery,inside the internet,,,,,,,,,,,1
2250599918,2250599918,everyboolean,,,,,,,,,,,,1
7.41E+17,7.41E+17,bxv_molbiol,"Brighton, England",,,,,,,,,,,1
1973382756,1973382756,ColBertStephens,"America, USA",,,,,,,,,,,1
7.5E+17,7.5E+17,scillaria,____ __,,,,,,,,,,,1
7.98E+17,7.98E+17,MoskowitzMooney,,,,,,,,,,,,1
7.09E+17,7.09E+17,threedesert,,,,,,,,,,,,1
3408893381,3408893381,IFClueBot,,,,,,,,,,,,1
206616788,206616788,dejiwall,,,,,,,,,,,,1
7.54E+17,"""753547016962060289""","""PokemonGONewsUS""","""""",,,,,,,,,,,1
8.41E+17,8.41E+17,ManoelaBeta7,,,,,,,,,,,,1
8.19E+17,8.19E+17,TahoeChains,Lake Tahoe,,,,,,,,,,,1
2899773086,2899773086,Every3Minutes,,,,,,,,,,,,1
581817134,581817134,Anuroopjr,Chickballapur,,,,,,,,,,,1
352748863,352748863,ursulaflanagan,,,,,,,,,,,,1
4851248005,4851248005,jowueob20,"Victoria city, MN, USA",,,,,,,,,,,1
4849674150,4849674150,quitoehck27,"Vancleave, MS, USA",,,,,,,,,,,1
7.91E+17,7.91E+17,HAroldbtmeme28,"Venetian village, IL, USA",,,,,,,,,,,1
4855277593,4855277593,katharyns25,"Massapequa, NY, USA",,,,,,,,,,,1
2838477794,2838477794,hakusongs,hakuland,,,,,,,,,,,1
3321136547,3321136547,thewillthewisp,"Poetry Department, Nereid",,,,,,,,,,,1
2345739343,2345739343,living_newyork,new york,,,,,,,,,,,1
3041192247,3041192247,soamazingquote,,,,,,,,,,,,1
7.87E+17,7.87E+17,loriwcute,"Lake Lucerne, FL, USA",,,,,,,,,,,1
256628776,256628776,trinityadam,United States,,,,,,,,,,,1
4847926297,4847926297,regurol1994,"Paoli, PA, USA",,,,,,,,,,,1
18197506,18197506,Cardinal_Fang,,,,,,,,,,,,1
2955700599,2955700599,RACQUELW86,"Worthington city, OH, USA",,,,,,,,,,,1
2836032643,2836032643,plzrevisit,,,,,,,,,,,,1
3795943403,3795943403,dailymoist,,,,,,,,,,,,1
1905798763,1905798763,killcodes,,,,,,,,,,,,1
4599110415,4599110415,_emo_ji,,,,,,,,,,,,1
2408637672,2408637672,SadisticMedic_,Purification in Progress.,,,,,,,,,,,1
7.14E+17,7.14E+17,prix_fixe_exe,BK ‰Û¢ NY,,,,,,,,,,,1
19108922,19108922,evoldir,,,,,,,,,,,,1
618294231,618294231,_grammar_,Follow me; see grammar errors!,,,,,,,,,,,1
1652248890,1652248890,itsavailable,Namespace,,,,,,,,,,,1
2250581388,2250581388,everyletterbot,,,,,,,,,,,,1
2859032146,2859032146,PressXToBot,,,,,,,,,,,,1
7.92E+17,7.92E+17,julissaf93,"Trophy Club town, TX, USA",,,,,,,,,,,1
3282129691,3282129691,IFinspiration,The IFDB (ifdb.tads.org),,,,,,,,,,,1
4848045286,4848045286,taehyungirl30,,,,,,,,,,,,1
3701125272,3701125272,MagicRealismBot,,,,,,,,,,,,1
7.65E+17,"""764507111665598464""","""EpicSGPokemon""","""Singapore""",,,,,,,,,,,1
35346943,35346943,pops131,"Taiwan(Sanchong,Taipei)",,,,,,,,,,,1
8.41E+17,8.41E+17,ScottalenLeeRo1,,,,,,,,,,,,1
2888761893,2888761893,face_withface,,,,,,,,,,,,1
8.41E+17,8.41E+17,lvnt2000,,,,,,,,,,,,1
8.24E+17,8.24E+17,McdanielArmijo,,,,,,,,,,,,1
3376432899,3376432899,all_in_cards,,,,,,,,,,,,1
3366974463,3366974463,autocompletejok,Search box,,,,,,,,,,,1
2260367066,2260367066,FalalalaBot,"San Francisco, CA",,,,,,,,,,,1
1965236348,1965236348,msxs_2016,"Austin, TX",,,,,,,,,,,1
8.27E+17,8.27E+17,harmonsway1013,"Illinois, USA",,,,,,,,,,,1
4866592001,4866592001,CTCF_Papers,,,,,,,,,,,,1
2267027040,2267027040,2noob2btrue,USA,,,,,,,,,,,1
544722510,544722510,virus_genome,,,,,,,,,,,,1
8.29E+17,8.29E+17,fitzpatrickmen4,,,,,,,,,,,,1
2428936177,2428936177,MetaphorMagnet,"UCD, Dublin, Ireland",,,,,,,,,,,1
2539843980,2539843980,imtherealdontai,,,,,,,,,,,,1
2912837156,2912837156,everygothcolor,,,,,,,,,,,,1
7.3E+17,7.3E+17,lillyb121,,,,,,,,,,,,1
3434287275,3434287275,best_tv_recaps,TV Land,,,,,,,,,,,1
3491890817,3491890817,Nucleosome_Bot,,,,,,,,,,,,1
2955088535,2955088535,KathlenelTloi,"Blountville, TN, USA",,,,,,,,,,,1
7.9E+17,7.9E+17,NArcisal20,"Hartselle city, AL, USA",,,,,,,,,,,1
7.76E+17,7.76E+17,PentatonicBot,,,,,,,,,,,,1
7.49E+17,7.49E+17,biorxiv_micrbio,,,,,,,,,,,,1
7.98E+17,7.98E+17,crossword_regex,,,,,,,,,,,,1
3326331851,3326331851,think_i_do,,,,,,,,,,,,1
2708127300,2708127300,wowwwrude,,,,,,,,,,,,1
8.14E+17,8.14E+17,angrystepparent,,,,,,,,,,,,1
7.07E+17,7.07E+17,TavernOfMirth,,,,,,,,,,,,1
4839381338,4839381338,voasekuck87,"St. Louis city, MI, USA",,,,,,,,,,,1
4836710328,4836710328,hihiCherylsC,"East Moline, United States",,,,,,,,,,,1
2553350965,2553350965,everywordcup,2014,,,,,,,,,,,1
369587408,369587408,tcellbiology,,,,,,,,,,,,1
2432961043,2432961043,JargonTron,Sports Hell,,,,,,,,,,,1
2788297100,2788297100,MuscleStemCell,,,,,,,,,,,,1
2748844394,2748844394,botechre,Rochdale,,,,,,,,,,,1
7.82E+17,7.82E+17,sjuworkerr,,,,,,,,,,,,1
4858410890,4858410890,MIlissawhihix,"Pinckney village, MI, USA",,,,,,,,,,,1
7.49E+17,7.49E+17,biorxiv_biophys,,,,,,,,,,,,1
3185769799,"""3185769799""","""Bedr0ckLearning""","""London, England""",,,,,,,,,,,1
7.95E+17,7.95E+17,AwfulEmoji,,,,,,,,,,,,1
2925162284,2925162284,twoemoji,,,,,,,,,,,,1
2553194498,2553194498,everynerd,,,,,,,,,,,,1
7.74E+17,7.74E+17,vuguiwi1991,"Kinston, United States",,,,,,,,,,,1
2829712275,2829712275,TumorImm_papers,,,,,,,,,,,,1
7.08E+17,7.08E+17,donalddrumpfbot,,,,,,,,,,,,1
8.41E+17,8.41E+17,janine_baradi,,,,,,,,,,,,1
3308085347,3308085347,attribot,,,,,,,,,,,,1
3089498686,3089498686,baaldraavers,,,,,,,,,,,,1
2461693056,2461693056,MOF_papers,,,,,,,,,,,,1
8.4E+17,"""840343879668908032""","""kateware9733""","""""",,,,,,,,,,,1
200798460,200798460,Anthonyswag18,,,,,,,,,,,,1
523538804,523538804,poll_test,The Internets,,,,,,,,,,,1
2597380748,2597380748,zorak_ebooks,,,,,,,,,,,,1
4493492963,4493492963,Bot_Nohomo,Satire,,,,,,,,,,,1
8.02E+17,8.02E+17,JeseniaT16,"Renovo borough, PA, USA",,,,,,,,,,,1
2910706257,2910706257,Kozzzy24,"England, United Kingdom",,,,,,,,,,,1
2558895162,2558895162,riverlevel_1867,,,,,,,,,,,,1
3242809616,3242809616,re3makes,"Los Angeles, CA",,,,,,,,,,,1
2600179838,2600179838,SpellerBot,,,,,,,,,,,,1
2992120279,2992120279,BletchleyRoll,"Bletchley Park,Buckinghamshire",,,,,,,,,,,1
4844965386,4844965386,fastsamueldwrig,"Elloree town, SC, USA",,,,,,,,,,,1
2407089794,2407089794,RootPapers,Underground,,,,,,,,,,,1
7.99E+17,7.99E+17,weatherlies_bot,"London, England",,,,,,,,,,,1
8.41E+17,8.41E+17,Victoriaavell11,"Bronx, NY",,,,,,,,,,,1
2564336228,2564336228,DJ_EBOOKS,CLUB TWITTER THE PARTY IS HERE,,,,,,,,,,,1
2529158347,2529158347,Popgen_Papers,University of Wyoming,,,,,,,,,,,1
1968852972,1968852972,AskAndAnswerBot,,,,,,,,,,,,1
8.25E+17,8.25E+17,jakeuip27,"McMinnville, United States",,,,,,,,,,,1
8.26E+17,8.26E+17,tylerstacos_,,,,,,,,,,,,1
8.4E+17,"""840335819445551104""","""2UvyAyaFb5jpLby""","""""",,,,,,,,,,,1
3299372399,3299372399,Botgle,,,,,,,,,,,,1
1581606528,1581606528,hotelbotai,,,,,,,,,,,,1
2954826133,2954826133,TysonFosterz,"Robbinsville town, NC, USA",,,,,,,,,,,1
2157584160,2157584160,AutoVids,Vineland,,,,,,,,,,,1
2215833073,2215833073,ParrotFlaubert,,,,,,,,,,,,1
197288202,197288202,bidoof_bot,Route 201,,,,,,,,,,,1
2519434339,2519434339,butt_things,butts,,,,,,,,,,,1
2953606090,2953606090,moajaqind1982,"Andrews town, IN, USA",,,,,,,,,,,1
7.9E+17,7.9E+17,riuleew83,"Stanleytown, VA, USA",,,,,,,,,,,1
3162970766,3162970766,preprints_metab,,,,,,,,,,,,1
7.08E+17,7.08E+17,valid9tion,,,,,,,,,,,,1
8.31E+17,8.31E+17,litts_mccarlie,,,,,,,,,,,,1
8.1E+17,8.1E+17,SunsetGenerator,,,,,,,,,,,,1
8.23E+17,8.23E+17,peawme,"Society Hill, NJ, USA",,,,,,,,,,,1
860598030,860598030,Jacktheboss434,,,,,,,,,,,,1
7.36E+17,7.36E+17,bangbangarix12,,,,,,,,,,,,1
764084202,764084202,buzarun,,,,,,,,,,,,1
1562113064,1562113064,DPLAbot,Libraries Everywhere,,,,,,,,,,,1
2312637570,2312637570,i_akari_daisuki,,,,,,,,,,,,1
2824114022,2824114022,wowwwiftrue,,,,,,,,,,,,1
8.28E+17,8.28E+17,gloster_tilda,,,,,,,,,,,,1
3957192304,3957192304,buoypix,the seven seas,,,,,,,,,,,1
7.04E+17,7.04E+17,MusicmakerBot,,,,,,,,,,,,1
2999876456,2999876456,erowidrecruiter,The Uncanny Valley,,,,,,,,,,,1
3000753730,3000753730,TVCommentBot,TV Land,,,,,,,,,,,1
1950945236,1950945236,arXiv_grqc,,,,,,,,,,,,1
2895992899,2895992899,allnothings,Dresden,,,,,,,,,,,1
7.94E+17,7.94E+17,pkmn_bonsai,,,,,,,,,,,,1
2383588777,2383588777,memcached_magic,,,,,,,,,,,,1
7.48E+17,7.48E+17,elmerw28,"Braxton village, MS, USA",,,,,,,,,,,1
2256099668,2256099668,PriceOfDogecoin,TO THE MOON!,,,,,,,,,,,1
8.22E+17,8.22E+17,chicknolapowell,"Glenview village, IL, USA",,,,,,,,,,,1
8.24E+17,8.24E+17,meua_lee,,,,,,,,,,,,1
3105987827,3105987827,a_travel_bot,anywhere and everywhere,,,,,,,,,,,1
2954620643,2954620643,MAmuamunt,"Norwich city, NY, USA",,,,,,,,,,,1
7.15E+17,7.15E+17,wordisaprison,,,,,,,,,,,,1
7.82E+17,7.82E+17,selfportraitexe,A:\,,,,,,,,,,,1
3168222871,3168222871,TermsofSbot,The back of ur blank check,,,,,,,,,,,1
8.12E+17,8.12E+17,walenar21,"Early city, IA, USA",,,,,,,,,,,1
2789749526,2789749526,pseudo_papers,,,,,,,,,,,,1
3315333763,3315333763,lncRNA_papers,"Boulder, CO",,,,,,,,,,,1
8.08E+17,8.08E+17,Now_Boobs,World,,,,,,,,,,,1
3170956028,3170956028,snailsnake,chutes and shells,,,,,,,,,,,1
161859875,161859875,duane_persaud,"New Jersey, USA",,,,,,,,,,,1
4494416373,4494416373,ValentinoBot,,,,,,,,,,,,1
2784743756,2784743756,relations_js,,,,,,,,,,,,1
2605381224,2605381224,bandname_exe,,,,,,,,,,,,1
7.64E+17,7.64E+17,LoremipsumBot,,,,,,,,,,,,1
3307268018,3307268018,genie_nelson,"Brier, WA",,,,,,,,,,,1
2409784321,2409784321,ManyJams,Everywhere,,,,,,,,,,,1
2955333247,2955333247,Marquis_Turnerx,"Odin village, IL, USA",,,,,,,,,,,1
8.23E+17,8.23E+17,katheyp27,"West Bend, United States",,,,,,,,,,,1
2867430136,2867430136,mozerablebot,,,,,,,,,,,,1
8.41E+17,8.41E+17,LitOffLanterns,,,,,,,,,,,,1
2654817222,2654817222,oiledits,,,,,,,,,,,,1
6.95E+17,6.95E+17,BeaHgiant,"Portola Hills, CA, USA",,,,,,,,,,,1
7.68E+17,7.68E+17,GrantsBotGov,United States,,,,,,,,,,,1
3982731976,3982731976,mcgucket_bot,,,,,,,,,,,,1
8.41E+17,8.41E+17,BowieK66,,,,,,,,,,,,1
2768374981,2768374981,ducknoteprice,,,,,,,,,,,,1
3304189373,3304189373,robotrecipes,robot kitchen,,,,,,,,,,,1
3224289024,3224289024,everyumlaut,,,,,,,,,,,,1
7.3E+17,7.3E+17,glossatory,Australah,,,,,,,,,,,1
8.2E+17,8.2E+17,Fancypants6047,vancouver,,,,,,,,,,,1
2602217174,2602217174,Hedgehogize,Moebius,,,,,,,,,,,1
8.33E+17,8.33E+17,jamieph93986621,,,,,,,,,,,,1
8.25E+17,8.25E+17,NothemDonella,,,,,,,,,,,,1
2215073972,2215073972,pony_strategies,,,,,,,,,,,,1
2903085721,2903085721,imgconvos,,,,,,,,,,,,1
8.27E+17,8.27E+17,StobbeKindra,,,,,,,,,,,,1
2529023630,2529023630,cgagraphics,#botALLY,,,,,,,,,,,1
4629779173,4629779173,ngthaohuong97,,,,,,,,,,,,1
8.41E+17,8.41E+17,m_h_nishimura,"London, England",,,,,,,,,,,1
1669431482,1669431482,TheYearofLuigi,On the track,,,,,,,,,,,1
3240509924,3240509924,litpatches_txt,,,,,,,,,,,,1
2553103718,2553103718,everysimile,,,,,,,,,,,,1
7.73E+17,7.73E+17,J_C_Christensen,,,,,,,,,,,,1
715885903,"""715885903""","""lenirvana666""","""""",,,,,,,,,,,1
2657893981,2657893981,DrPhilRx,,,,,,,,,,,,1
4850719386,4850719386,DivinaCooperi,"Merna village, NE, USA",,,,,,,,,,,1
2580987373,2580987373,libraryofemoji,,,,,,,,,,,,1
148727987,148727987,wrap_papers,"Coventry, United Kingdom",,,,,,,,,,,1
616485017,616485017,BloombrgNewsish,,,,,,,,,,,,1
3345365117,3345365117,OliverBarkBark,,,,,,,,,,,,1
2202165600,2202165600,jargotron,Internet?,,,,,,,,,,,1
2238074461,2238074461,Games4Grownups,,,,,,,,,,,,1
2865812463,2865812463,Lowpolybot,The Internet,,,,,,,,,,,1
7.19E+17,7.19E+17,2blessed_exe,,,,,,,,,,,,1
2579497028,2579497028,poem_exe,,,,,,,,,,,,1
4827186013,4827186013,HigherEdSurge,"Silicon Valley, CA",,,,,,,,,,,1
8.03E+17,8.03E+17,GUNNERCARTERXX,"Walnut Grove, WA, USA",,,,,,,,,,,1
2951514519,2951514519,myah581,"ø_™‹™‰™‹™_™šøÂ™_ø©, ™ƒøµø±",,,,,,,,,,,1
2873849441,2873849441,starnearyou,"Orion‰ÛÒCygnus Arm, Milky Way",,,,,,,,,,,1
3772896857,3772896857,wayback_exe,The ancient web,,,,,,,,,,,1
8.03E+17,8.03E+17,wutahiq19,"North Spearfish, SD, USA",,,,,,,,,,,1
8.28E+17,8.28E+17,OldLSystemBot,,,,,,,,,,,,1
2834773720,2834773720,low_battery_tho,,,,,,,,,,,,1
8.23E+17,8.23E+17,yeahashleyrober,"Otter Creek town, FL, USA",,,,,,,,,,,1
8.41E+17,8.41E+17,WonderWoman0716,"Olar, SC",,,,,,,,,,,1
2216000610,2216000610,faq_walkthrough,,,,,,,,,,,,1
2837739489,2837739489,AutoNetflix,On Your Screen,,,,,,,,,,,1
8.34E+17,8.34E+17,FeinmanAltha,,,,,,,,,,,,1
1917949477,1917949477,VoynichTechNews,,,,,,,,,,,,1
7.49E+17,7.49E+17,xx5sosvines01,,,,,,,,,,,,1
7.14E+17,7.14E+17,throam_bot,tweets in parenthesis owner,,,,,,,,,,,1
7.7E+17,"""770306839628091392""","""NMBPoGoAlert""","""North Myrtle Beach, SC""",,,,,,,,,,,1
2389455080,2389455080,ButtlawMcButt,,,,,,,,,,,,1
7.95E+17,7.95E+17,GilgameshTweets,Uruk,,,,,,,,,,,1
3227021524,3227021524,dronesweetie,anywhere,,,,,,,,,,,1
7.98E+17,7.98E+17,PenryParmelee,,,,,,,,,,,,1
4841400949,4841400949,altagraciao86,"Neshkoro village, WI, USA",,,,,,,,,,,1
7.31E+17,7.31E+17,bookonbalcony,@ojahnn's balcony,,,,,,,,,,,1
2194383865,2194383865,SuperbOwl3000,Unova,,,,,,,,,,,1
2836962348,2836962348,ARealRiver,,,,,,,,,,,,1
2758649640,2758649640,tiny_astro_naut,,,,,,,,,,,,1
8.25E+17,8.25E+17,ceubehen,"Plano, USA",,,,,,,,,,,1
8.28E+17,8.28E+17,ljw269,,,,,,,,,,,,1
3257695526,3257695526,armspirits,,,,,,,,,,,,1
4854763634,4854763634,marcelinep16,"Glen Carbon village, IL, USA",,,,,,,,,,,1
2526900595,2526900595,epigen_papers,"Rennes, France",,,,,,,,,,,1
3297361261,3297361261,tardygram,"London, England",,,,,,,,,,,1
345689601,345689601,SharksOnCouches,"Nashville, TN __Washington, DC",,,,,,,,,,,1
8.03E+17,8.03E+17,LucileRobertsa,"Rockledge city, FL, USA",,,,,,,,,,,1
873715682,873715682,SylverBot,,,,,,,,,,,,1
2706729062,2706729062,adventvrecall,Perdition,,,,,,,,,,,1
2216213125,2216213125,greatartbot,,,,,,,,,,,,1
1890833028,1890833028,dtufreak,"Copenhagen, Denmark",,,,,,,,,,,1
8.03E+17,8.03E+17,patrinafbryantz,"Kenai city, AK, USA",,,,,,,,,,,1
2567065662,2567065662,bot_things,,,,,,,,,,,,1
2538521768,2538521768,MuzeumBot,,,,,,,,,,,,1
2794753213,2794753213,fantasy_florist,An Imaginary Nursery,,,,,,,,,,,1
2669362848,2669362848,hypoxiapapers,,,,,,,,,,,,1
8.41E+17,8.41E+17,MysteriousW0rld,United States,,,,,,,,,,,1
2469697044,2469697044,netflixtaglines,,,,,,,,,,,,1
2869819060,2869819060,MythologyBot,Collective Unconscious,,,,,,,,,,,1
2796646086,2796646086,THMarcella,"Seattle, WA",,,,,,,,,,,1
8.31E+17,8.31E+17,themetgallery,"New York, NY",,,,,,,,,,,1
2907425432,2907425432,FFD8FFDB,,,,,,,,,,,,1
1431116617,"""1431116617""","""DuniaOnePiece""","""Indonesia""",,,,,,,,,,,1
2159821603,2159821603,wz77,In the past,,,,,,,,,,,1
3068667437,3068667437,scell_papers,"Vienna, Austria",,,,,,,,,,,1
7.19E+17,7.19E+17,WizardGenerator,,,,,,,,,,,,1
3035152834,3035152834,bouquetbot,,,,,,,,,,,,1
7.95E+17,7.95E+17,astronaut_bot,,,,,,,,,,,,1
3327104705,3327104705,censusAmericans,,,,,,,,,,,,1
8.41E+17,8.41E+17,tibbits_marcus,,,,,,,,,,,,1
7.71E+17,"""770720756242219009""","""3461holley""","""""",,,,,,,,,,,1
187230074,187230074,isu_bot2_fs,"Lausanne, Switzerland",,,,,,,,,,,1
3227013130,3227013130,HaikuMurakami,"New York, NY",,,,,,,,,,,1
7.43E+17,7.43E+17,Clippy_exe,"Redmond, WA",,,,,,,,,,,1
2887281063,2887281063,fullmetaliberty,"Pensacola, FL",,,,,,,,,,,1
2364212785,2364212785,cancerSL,,,,,,,,,,,,1
2361303974,2361303974,phylogeo_papers,,,,,,,,,,,,1
390583023,390583023,asdfghjkl0l2,Twerking With Nick ;) ,,,,,,,,,,,1
2824664324,2824664324,sexyeveryword,sexy everywhere,,,,,,,,,,,1
7.99E+17,7.99E+17,hortensiadicke3,,,,,,,,,,,,1
2497712840,2497712840,Sexkitten0422,,,,,,,,,,,,1
195370058,195370058,kanyejordan,,,,,,,,,,,,1
4706049494,4706049494,someboxes,,,,,,,,,,,,1
1098813444,1098813444,mahireyvazov,,,,,,,,,,,,1
224383150,224383150,mlegoudes262,,,,,,,,,,,,1
163803902,"""163803902""","""1lovetakes2""","""""",,,,,,,,,,,1
2823014245,2823014245,coolbot420,,,,,,,,,,,,1
356900531,356900531,topbiopapers,,,,,,,,,,,,1
4849785894,4849785894,STaafunnyx,"Masonboro, NC, USA",,,,,,,,,,,1
2384073290,2384073290,bionet_papers,@heathermvincent,,,,,,,,,,,1
2147957118,2147957118,pizzaclones,,,,,,,,,,,,1
2488961221,2488961221,DistractedGenie,,,,,,,,,,,,1
3352995195,3352995195,space_stories,SPACE,,,,,,,,,,,1
2367592460,2367592460,CantorLogical,Germany,,,,,,,,,,,1
2598993007,2598993007,sg_ebooks,,,,,,,,,,,,1
2420779892,2420779892,scientificpaper,,,,,,,,,,,,1
7.45E+17,7.45E+17,biorxiv_genomic,,,,,,,,,,,,1
7.37E+17,7.37E+17,scdicaprio,,,,,,,,,,,,1
2419923152,2419923152,allemptysets,,,,,,,,,,,,1
8.34E+17,8.34E+17,thedismalblog,,,,,,,,,,,,1
